1,Tropea,2598,589900,134 Greenbury Close,Immediate,2018-09-30 0:00,3,2.5,Unavailable,Greenbury,Spruce Grove,Spruce Grove,Single Family Attached Garage
2,Marsala,1666,534900,724 Charlesworth Way ,Immediate,2018-01-25 0:00,3,2.5,Show Home,The Hills at Charlesworth,Southeast Edmonton,Edmonton,Single Family Attached Garage
3,Allegro D,2161,534900,6714 Elston Lane NW ,Immediate,2018-01-25 0:00,3,2.5,Show Home,Timberidge At Edgemont,West Edmonton,Edmonton,Single Family Attached Garage
4,Dover II,1848,479900,6716 Elston Lane NW,Immediate,2018-08-31 0:00,3,2.5,Show Home,Timberidge At Edgemont,West Edmonton,Edmonton,Single Family Attached Garage
5,Marquee II,1660,949900,1203 Wahl Court NW,Immediate,2018-02-01 0:00,3,2.5,Sold,Bella Vista,Southwest Edmonton,Edmonton,Bungalows
6,Perugia,1842,534900,722 Charlesworth Way ,Immediate,2018-01-25 0:00,3,2.5,Show Home,The Hills at Charlesworth,Southeast Edmonton,Edmonton,Duplex
7,Messina,2311,534900,718 Charlesworth Way ,Immediate,2018-01-25 0:00,4,2.5,Show Home,The Hills at Charlesworth,Southeast Edmonton,Edmonton,Single Family Attached Garage
8,Reggio,1834,534900,8104 225 Street,Immediate,2018-01-25 0:00,3,2.5,Unavailable,Rosenthal,West Edmonton,Edmonton,Single Family Attached Garage
9,Aspen,2150,499900,6403 Elston Loop,Immediate,2018-01-25 12:39,3,2.5,Available,Timberidge At Edgemont,West Edmonton,Edmonton,Single Family Attached Garage
10,Milan,1941,899000,1214 Wahl Court NW,Immediate,2018-01-25 0:00,2,2,Sold,Bella Vista,Southwest Edmonton,Edmonton,Bungalows
11,Dante III,1568,408361,720 Charlesworth Way ,Immediate,2018-01-25 0:00,3,2.5,Show Home,The Hills at Charlesworth,Southeast Edmonton,Edmonton,Duplex
12,Aria D,1952,408361,2109 Koshal Way SW,Immediate,2018-01-25 12:39,3,2.5,Show Home,ONE At Keswick,Southwest Edmonton,Edmonton,Single Family Attached Garage
13,Dante,1572,408361,2105 Koshal Way SW,Immediate,2018-01-25 12:39,3,2.5,Show Home,ONE At Keswick,Southwest Edmonton,Edmonton,Duplex
14,Brilante,2457,408361,2107 Koshal Way SW,Immediate,2018-01-25 12:39,3,2.5,Show Home,ONE At Keswick,Southwest Edmonton,Edmonton,Single Family Attached Garage
15,Veneto,1354,408361,2103 Koshal Way SW,Immediate,2018-01-25 12:39,3,2.5,Show Home,ONE At Keswick,Southwest Edmonton,Edmonton,Duplex
16,Palermo A,1558,379900,273 Sturtz Bend,Immediate,2018-01-25 12:39,3,2.5,Available,Southfork,Leduc,Leduc,Duplex
17,Prescot A,1370,324900,271 Sturtz Bend,Immediate,2018-01-25 12:39,3,2.5,Available,Southfork,Leduc,Leduc,Duplex
18,Dover,1755,433539,147 Sturtz Bend,Immediate,2018-01-25 12:39,3,2.5,Available,Southfork,Leduc,Leduc,Single Family Attached Garage
19,Dante II,1664,375000,562 Sturtz Link,Immediate,2018-01-25 0:00,3,2.5,Sold,Southfork,Leduc,Leduc,Duplex
20,Dante,1723,414700,604 - 40 Street SW,Immediate,2018-01-25 0:00,3,2.5,Sold,The Hills at Charlesworth,Southeast Edmonton,Edmonton,Duplex
21,Veneto,1354,314700,553 Sturtz Link,Immediate,2018-01-25 0:00,3,2.5,Sold,Southfork,Leduc,Leduc,Duplex
22,Veneto,1354,314700,555 Sturtz Link,Immediate,2018-01-25 0:00,3,2.5,Sold,Southfork,Leduc,Leduc,Duplex
23,Bridgewater,2273,519750,4016 - 6 Avenue SW,Immediate,2018-01-25 0:00,3,2.5,Sold,The Hills at Charlesworth,Southeast Edmonton,Edmonton,Single Family Attached Garage
24,Bridgewater,2276,534900,4007 - 7 Avenue SW,Immediate,2018-01-25 0:00,3,2.5,Sold,The Hills at Charlesworth,Southeast Edmonton,Edmonton,Single Family Attached Garage
25,Dante,1764,408361,17 Greenbury Manor,Immediate,2018-01-25 0:00,3,2.5,Sold,Greenbury,Spruce Grove,Spruce Grove,Duplex
26,Picasso,1553,408361,1872 Keene Cres SW,Immediate,2018-01-25 0:00,3,2.5,Unavailable,ONE At Keswick,Southwest Edmonton,Edmonton,Townhomes
27,Monet II,1272,408361,1870 Keene Cres SW,Immediate,2018-01-25 0:00,3,2.5,Unavailable,ONE At Keswick,Southwest Edmonton,Edmonton,Townhomes
28,Matera,1624,513365,4036 - 6 Avenue SW,Immediate,2018-01-25 0:00,3,2.5,Sold,The Hills at Charlesworth,Southeast Edmonton,Edmonton,Single Family Attached Garage
29,Veneto II F,1442,313132,33 Greenbury Close,Immediate,2018-01-25 12:39,3,2.5,Available,Greenbury,Spruce Grove,Spruce Grove,Townhomes
30,Veneto II F,1440,311501,35 Greenbury Close,Immediate,2018-01-25 12:39,3,2.5,Available,Greenbury,Spruce Grove,Spruce Grove,Townhomes
31,Veneto II F,1440,309900,37 Greenbury Close,Immediate,2018-01-25 0:00,3,2.5,Sold,Greenbury,Spruce Grove,Spruce Grove,Townhomes
32,Veneto II F,1442,312500,39 Greenbury Close,Immediate,2018-01-25 12:39,2,2.5,Sold,Greenbury,Spruce Grove,Spruce Grove,Townhomes
33,Dante Veneto F,1400,336337,94 Greenbury Close,Immediate,2018-01-25 12:39,3,2.5,Available,Greenbury,Spruce Grove,Spruce Grove,Duplex
34,Veneto,1400,329900,96 Greenbury Close,Immediate,2018-01-25 0:00,3,2.5,Sold,Greenbury,Spruce Grove,Spruce Grove,Duplex
35,Dante Veneto F,1400,341270,98 Greenbury Close,Immediate,2018-01-25 0:00,3,2.5,Sold,Greenbury,Spruce Grove,Spruce Grove,Duplex
36,Dover III,1679,479900,22540 82 Avenue NW,Immediate,2018-01-25 0:00,3,2.5,Sold,Rosenthal,West Edmonton,Edmonton,Single Family Attached Garage
37,Dante,1572,379000,21 Rolston Close,Immediate,2018-01-25 0:00,3,2.5,Sold,Robinson,Leduc,Leduc,Duplex
38,Dante III Duplex - Double Garage,1568,329900,25 Rolston Close,Immediate,2018-01-25 0:00,3,2.5,Available,Robinson,Leduc,Leduc,Duplex
39,Dante,1723,378000,27 Rolston Close,Immediate,2018-01-25 0:00,3,2.5,Sold,Robinson,Leduc,Leduc,Duplex
40,Tirano,1409,329800,179 Robinson Drive,Immediate,2018-01-25 12:39,3,2.5,Available,Robinson,Leduc,Leduc,Single Family Attached Garage
41,Tirano,1409,317400,171 Robinson Drive,Immediate,2018-01-25 0:00,3,2.5,Sold,Robinson,Leduc,Leduc,Single Family Attached Garage
42,Tirano,1409,317400,169 Robinson Drive,Immediate,2018-01-25 12:39,3,2.5,Available,Robinson,Leduc,Leduc,Single Family Attached Garage
43,Tirano,1409,317400,177 Robinson Drive,Immediate,2018-01-25 12:39,3,2.5,Available,Robinson,Leduc,Leduc,Single Family Attached Garage
44,Veneto,1354,358266,8009 - 223 Street NW,Immediate,2018-11-30 0:00,3,2.5,Sold,Rosenthal,West Edmonton,Edmonton,Duplex
45,Dante II,1664,399273,8007 - 223 St NW Edmonton,Immediate,2018-11-30 0:00,3,2.5,Sold,Rosenthal,West Edmonton,Edmonton,Duplex
46,Dante II,1530,363000,531 Sturtz Link,Immediate,2018-01-25 0:00,3,2.5,Sold,Southfork,Leduc,Leduc,Duplex
47,Reggio,1767,403500,168 Sturtz Bend,Immediate,2018-01-25 0:00,3,2.5,Sold,Southfork,Leduc,Leduc,Single Family Attached Garage
48,Tirano,1409,317400,175 Robinson Drive,Immediate,2018-04-30 0:00,3,2.5,Sold,Robinson,Leduc,Leduc,Single Family Attached Garage
49,Tirano,1409,317400,173 Robinson Drive,Immediate,2018-04-30 0:00,3,2.5,Unavailable,Robinson,Leduc,Leduc,Single Family Attached Garage
51,Picasso II,1390,340100,1787 Keene Crescent SW,Immediate,2018-02-13 0:00,3,2.5,Unavailable,ONE At Keswick,Southwest Edmonton,Edmonton,Townhomes
52,Bridgewater,2273,509900,6511 Elston Loop NW,Immediate,2018-01-25 0:00,3,2.5,Available,Timberidge At Edgemont,West Edmonton,Edmonton,Single Family Attached Garage
53,Matera,1621,449900,6489 Elston Loop NW,Immediate,2018-01-25 0:00,3,2.5,Sold,Timberidge At Edgemont,West Edmonton,Edmonton,Single Family Attached Garage
54,Dante,1572,449900,40 Rolston Close,Immediate,2018-01-25 12:39,3,2.5,Show Home,Robinson,Leduc,Leduc,Duplex
55,Picasso II,1390,339900,1864 Keene Crescent SW,Immediate,2018-07-31 0:00,3,2.5,Unavailable,ONE At Keswick,Southwest Edmonton,Edmonton,Townhomes
56,Monet,1399,325000,1860 Keene Crescent SW,Immediate,2018-07-31 0:00,3,2.5,Unavailable,ONE At Keswick,Southwest Edmonton,Edmonton,Townhomes
57,Monet II,1270,322099,1825 Keene Crescent SW,Immediate,2018-06-30 0:00,3,2.5,Unavailable,ONE At Keswick,Southwest Edmonton,Edmonton,Townhomes
58,Monet II,1272,305000,1791 Keene Crescent SW,Immediate,2018-04-20 0:00,2,2.5,Sold,ONE At Keswick,Southwest Edmonton,Edmonton,Townhomes
59,Picasso,1553,371000,1813 Keene Crescent SW,Immediate,2018-06-30 0:00,3,2.5,Unavailable,ONE At Keswick,Southwest Edmonton,Edmonton,Townhomes
60,Dover II,1846,474900,4028 - 6 Avenue SW,Immediate,2018-04-30 0:00,3,2.5,Sold,The Hills at Charlesworth,Southeast Edmonton,Edmonton,Single Family Attached Garage
61,Glenora,1923,479900,34 George Landing,Immediate,2018-05-31 0:00,3,2.5,Sold,Greenbury,Spruce Grove,Spruce Grove,Single Family Attached Garage
62,Corsa II,1464,414900,8152 - 225 Street NW,Immediate,2018-05-31 0:00,3,2.5,Sold,Rosenthal,West Edmonton,Edmonton,Single Family Attached Garage
63,Dante,1572,414900,38 Rolston Close,Immediate,2018-03-09 0:00,3,2.5,Show Home,Robinson,Leduc,Leduc,Duplex
64,Grafton,1407,409400,8040 - 223 Street NW,Immediate,2018-06-30 0:00,3,2.5,Sold,Rosenthal,West Edmonton,Edmonton,Single Family Detached Garage
65,testHouse,1407,409400,8040 - 223 Street NW,Immediate,2018-03-21 0:00,5,2.5,Sold,Bella Vista,Southwest Edmonton,Edmonton,Single Family Attached Garage
66,Dante II,1664,399900,2436 Kelly Circle SW,Immediate,2018-09-30 0:00,3,2.5,Sold,ONE At Keswick,Southwest Edmonton,Edmonton,Duplex
67,Dante,1700,364900,50 Gladstone Bend,Immediate,2018-09-30 0:00,3,2.5,Sold,Greenbury,Spruce Grove,Spruce Grove,Duplex
68,Dante II,1645,361752,48 Gladstone Bend,Immediate,2018-09-30 0:00,3,2.5,Sold,Greenbury,Spruce Grove,Spruce Grove,Duplex
69,Dante,1700,349900,46 Gladstone Bend,Immediate,2018-09-30 0:00,3,2.5,Available,Greenbury,Spruce Grove,Spruce Grove,Duplex
70,Dante,1700,365167,44 Gladstone Bend,Immediate,2018-09-30 0:00,3,2.5,Sold,Greenbury,Spruce Grove,Spruce Grove,Duplex
71,Dante,1700,354900,42 Gladstone Bend,Immediate,2018-09-30 0:00,3,2.5,Available,Greenbury,Spruce Grove,Spruce Grove,Duplex
72,Dante,1700,370415,40 Gladstone Bend,Immediate,2018-09-30 0:00,3,2.5,Sold,Greenbury,Spruce Grove,Spruce Grove,Duplex
73,Dante II,1664,390355,3619 8 Avenue SW,Immediate,2018-06-30 0:00,3,2.5,Sold,The Hills at Charlesworth,Southeast Edmonton,Edmonton,Duplex
74,Dante,1700,349900,38 Gladstone Bend,Immediate,2018-11-30 0:00,3,2.5,Available,Greenbury,Spruce Grove,Spruce Grove,Duplex
75,Dante,1700,369090,36 Gladstone Bend,Immediate,2018-11-30 0:00,3,2.5,Sold,Greenbury,Spruce Grove,Spruce Grove,Duplex
76,Picasso II,1393,339568,1821 Keene Crescent SW,Immediate,2018-06-04 0:00,3,2.5,Unavailable,ONE At Keswick,Southwest Edmonton,Edmonton,Townhomes
77,Picasso II,1390,339900,1858 Keene Crescent SW,Immediate,2018-06-04 0:00,3,2.5,Unavailable,ONE At Keswick,Southwest Edmonton,Edmonton,Townhomes
78,Dover II,1846,464900,6616 Elston Court NW,Immediate,2018-08-31 0:00,3,2.5,Available,Timberidge At Edgemont,West Edmonton,Edmonton,Single Family Attached Garage
79,Siena II,2729,699900,2210 Kelly Crescent SW,Immediate,2018-09-30 0:00,3,2.5,Available,ONE At Keswick Premiere,Southwest Edmonton,Edmonton,Single Family Attached Garage
80,Dante,1723,423850,2408 Kelly Circle SW,Immediate,2018-09-30 0:00,3,2.5,Available,ONE At Keswick,Southwest Edmonton,Edmonton,Duplex
81,Picasso III,1645,356728,32 Gladstone Bend,Immediate,2018-12-31 0:00,3,2.5,Sold,Greenbury,Spruce Grove,Spruce Grove,Duplex
